558,,AGVY,BLUMENAU,BNU
559,,CNZ3,CAPINZAL,CNZ
560,,BOMB,BOMBINHAS,BOMB
561,,BRES,SAO JOSE,SOO
562,,CTBL,CURITIBA,CTA
563,,UVA,UNIAO DA VITORIA,UVA
564,,DVZ,DOIS VIZINHOS,DVZ
565,,PRPO,SEM DESCRICAO,PRPO
566,,PQJP,PIRAQUARA,PQA
567,,ADP,ADRIANOPOLIS,ADP
568,,ATCL,ALMIRANTE TAMANDARE,ATT
569,,AON,ANTONINA,AON
570,,AUCE,ARAUCARIA,AUC
571,,AUXI,ARAUCARIA,AUC
572,,BLV,BALSA NOVA,BLV
573,,BUV,BOCAIUVA DO SUL,BUV
574,,CKCE,CAMPINA GRANDE DO SUL,CKG
575,,CRZ,CERRO AZUL,CRZ
576,,CBFB,COLOMBO,CBX
577,,CBGT,COLOMBO,CBX
578,,CBRG,COLOMBO,CBX
579,,CTST,CURITIBA,CTA
580,,DRUS,DOUTOR ULYSSES,DRUS
581,,FZR,FAZENDA RIO GRANDE,FZR
582,,GQB,GUARAQUECABA,GQB
583,,GRCE,GUARATUBA,GRU
584,,GRAE,GUARATUBA,GRU
585,,IPCF,ITAPERUCU,IPRU
586,,LPA,LAPA,LPA
587,,MDT,MANDIRITUBA,MDT
588,,MOS,MATINHOS,MOS
589,,MES,MORRETES,MES
590,,PNCE,PARANAGUA,PNG
591,,PNAQ,PINHAIS,PNIS
592,,PNTA,PINHAIS,PNIS
593,,PQA,PIRAQUARA,PQA
594,,PSUL,PONTAL DO SUL,PSUL
595,,QBS,QUATRO BARRAS,QBS
596,,BOTR,BORDA DO CAMPO,BOCA
597,,SJRB,SAO JOSE DOS PINHAIS,SJP
598,,SJAF,SAO JOSE DOS PINHAIS,SJP
599,,SJRL,SAO JOSE DOS PINHAIS,SJP
600,,CACA,COLONIA CASTROLANDA,CACA
601,,ADU,AGUDOS DO SUL,ADU
602,,CTSL,CURITIBA,CTA
603,,AUCT,ARAUCARIA,AUC
604,,BUGE,BUGRE,BUGE
605,,COTR,COLONIA FARIA,COFI
606,,PLBO,PAIOL DE BAIXO,PLBO
607,,CXN,CAMPO DO TENENTE,CXN
608,,CAAB,CAMPO MAGRO,CAMG
609,,CACR,CAMPO MAGRO,CAMG
610,,CBGR,COLOMBO,CBX
611,,CACB,CAMBE,CAB
612,,CTAB,CURITIBA,CTA
613,,CTCR,CURITIBA,CTA
614,,CTXX,CURITIBA,CTA
615,,CTAV,CURITIBA,CTA
616,,CTKA,CURITIBA,CTA
617,,CTBV,CURITIBA,CTA
618,,CTBR,CURITIBA,CTA
619,,CTBQ,CURITIBA,CTA
620,,CTSQ,CURITIBA,CTA
621,,CTKS,CURITIBA,CTA
622,,CTC2,CURITIBA,CTA
623,,CTL1,CURITIBA,CTA
624,,CTPN,CURITIBA,CTA
625,,CTUB,CURITIBA,CTA
626,,CTGK,CURITIBA,CTA
627,,CTPL,CURITIBA,CTA
628,,CTAC,CURITIBA,CTA
629,,CTPT,CURITIBA,CTA
630,,CTOW,CURITIBA,CTA
631,,CTLB,CURITIBA,CTA
632,,CTTT,CURITIBA,CTA
633,,CTDT,CURITIBA,CTA
634,,GRBN,GUARATUBA,GRU
635,,GRCO,GUARATUBA,GRU
636,,ARBS,AREIA BRANCA DOS ASSIS,ARBS
637,,ALEA,ALEXANDRA,ALEA
638,,CSSR,CASCAVEL,CSC
639,,CSFO,CASCAVEL,CSC
640,,CSGO,CASCAVEL,CSC
641,,CSRO,CASCAVEL,CSC
642,,AOA,ALTONIA,AOA
643,,APND,APUCARANA,APU
644,,APSA,ARAPONGAS,APS
645,,ASD,ASSIS CHATEAUBRIAND,ASD
646,,BMJL,BOM JESUS DO SUL,BMJL
647,,BGT,SEM DESCRICAO,BGTN
648,,CBR,CAMBARA,CBR
649,,CPAE,CAMPO MOURAO,CPM
650,,CPIP,CAMPO MOURAO,CPM
651,,CPKN,CAMPO MOURAO,CPM
652,,CBQ,CARAMBEI,CBQ
653,,CSGU,CASCAVEL,CSC
654,,CARB,CASTRO,CAT
655,,CAT,CASTRO,CAT
656,,CNAZ,CIANORTE,CNE
657,,CNCL,CIANORTE,CNE
658,,COWI,COLONIA WITMARSUM,COWI
659,,CPCL,CORNELIO PROCOPIO,CPP
660,,CTZ,CORUMBATAI DO SUL,CTZ
661,,CZG,CRUZEIRO DO IGUACU,CZG
662,,CYV,CURIUVA,CYV
663,,IMTR,DOIS IRMAOS,DOIM
664,,EEQ,ENEAS MARQUES,EEQ
